index,time,iter,reward,value,best_reward,best_value,node
0,1,0,-5.40475,253952,-5.40475,253952,KO:2-
1,2,1,-5.17465,149504,-5.17465,149504,LM:16-KO:2-
2,3,2,-5.32837,212995,-5.17465,149504,KO:4-
3,3,3,-5.15018,141312,-5.15018,141312,MM:8-LM:16-KO:2-
4,5,4,-5.21443,163842,-5.15018,141312,KO:1-
5,5,5,-5.23562,172035,-5.15018,141312,LM:32-KO:2-
6,6,6,-5.45746,286722,-5.15018,141312,LM:1-KO:4-
7,7,7,-5.15643,143360,-5.15018,141312,LM:8-KO:1-
8,8,8,-5.23562,172035,-5.15018,141312,LM:1-KO:2-
9,9,9,-5.40475,253952,-5.15018,141312,LM:2-KO:2-
10,9,10,-5.19215,155649,-5.15018,141312,LM:16-KO:1-
11,10,11,-5.31133,204802,-5.15018,141312,LM:32-KO:1-
12,10,12,-5.19215,155649,-5.15018,141312,MM:4-LM:8-KO:1-
13,10,13,-5.15018,141312,-5.15018,141312,NI:64-MM:8-LM:16-KO:2-
14,11,14,-5.25581,180224,-5.15018,141312,LM:4-KO:2-
15,11,15,-5.15643,143360,-5.15018,141312,MM:8-LM:8-KO:1-
16,12,16,-5.19215,155651,-5.15018,141312,LM:4-KO:4-
17,12,17,-5.73947,548865,-5.15018,141312,MM:1-LM:2-KO:2-
18,13,18,-5.46969,294912,-5.15018,141312,MM:2-LM:16-KO:2-
19,14,19,-5.21442,163840,-5.15018,141312,MM:4-LM:16-KO:2-
20,14,20,-5.60359,401408,-5.15018,141312,NI:2-MM:4-LM:16-KO:2-
21,14,21,-5.75849,573440,-5.15018,141312,MM:1-LM:8-KO:1-
22,14,22,-5.17167,148480,-5.15018,141312,MM:8-LM:32-KO:1-
23,15,23,-5.14702,140288,-5.14702,140288,MM:8-LM:32-KO:2-
24,15,24,-5.77671,598017,-5.14702,140288,NI:2-MM:1-LM:8-KO:1-
25,16,25,-5.19215,155649,-5.14702,140288,LM:2-KO:1-
26,17,26,-5.32837,212993,-5.14702,140288,LM:4-KO:1-
27,18,27,-5.19215,155649,-5.14702,140288,MM:4-LM:16-KO:1-
28,18,28,-5.19215,155652,-5.14702,140288,MM:4-LM:4-KO:2-
29,18,29,-5.19215,155650,-5.14702,140288,MM:4-LM:32-KO:1-
30,19,30,-5.45746,286722,-5.14702,140288,MM:2-LM:2-KO:1-
31,19,31,-5.61236,409602,-5.14702,140288,NI:8-MM:2-LM:2-KO:1-
32,19,32,-5.23561,172033,-5.14702,140288,LM:1-KO:1-
33,20,33,-5.15018,141312,-5.14702,140288,LM:16-KO:4-
34,20,34,-5.16866,147456,-5.14702,140288,MM:8-LM:4-KO:4-
35,21,35,-5.19215,155650,-5.14702,140288,MM:4-LM:32-KO:2-
36,21,36,-5.21981,165888,-5.14702,140288,NI:16-MM:8-LM:16-KO:2-
37,21,37,-5.23562,172035,-5.14702,140288,LM:32-KO:4-
38,22,38,-5.25582,180225,-5.14702,140288,LM:8-KO:2-
39,23,39,-5.45746,286720,-5.14702,140288,MM:2-LM:16-KO:4-
40,23,40,-5.18057,151554,-5.14702,140288,MM:8-LM:8-KO:2-
41,23,41,-5.19215,155650,-5.14702,140288,NI:32-MM:4-LM:32-KO:1-
42,23,42,-5.31133,204802,-5.14702,140288,NI:8-MM:4-LM:32-KO:1-
43,24,43,-5.45746,286720,-5.14702,140288,MM:2-LM:8-KO:1-
44,24,44,-5.18056,151552,-5.14702,140288,LM:8-KO:4-
45,25,45,-5.21443,163843,-5.14702,140288,MM:4-LM:2-KO:2-
46,25,46,-5.19214,155648,-5.14702,140288,LM:2-KO:4-
47,26,47,-5.23562,172035,-5.14702,140288,MM:8-LM:1-KO:2-
48,26,48,-5.19214,155648,-5.14702,140288,MM:8-LM:2-KO:4-
49,26,49,-5.73946,548864,-5.14702,140288,MM:1-LM:4-KO:4-
50,27,50,-5.25582,180226,-5.14702,140288,MM:4-LM:1-KO:1-
51,27,51,-5.60359,401411,-5.14702,140288,NI:4-MM:8-LM:1-KO:2-
52,27,52,-5.45746,286720,-5.14702,140288,MM:2-LM:16-KO:1-
53,27,53,-5.25582,180226,-5.14702,140288,MM:4-LM:1-KO:2-
54,28,54,-5.19215,155650,-5.14702,140288,MM:4-LM:4-KO:1-
55,28,55,-5.45746,286721,-5.14702,140288,MM:2-LM:32-KO:4-
56,28,56,-5.73946,548864,-5.14702,140288,MM:1-LM:8-KO:2-
57,28,57,-5.45746,286720,-5.14702,140288,MM:2-LM:4-KO:1-
58,29,58,-5.21443,163842,-5.14702,140288,MM:4-LM:2-KO:4-
59,29,59,-5.60359,401411,-5.14702,140288,NI:32-MM:8-LM:1-KO:2-
60,29,60,-5.73947,548865,-5.14702,140288,MM:1-LM:32-KO:1-
61,29,61,-5.19215,155649,-5.14702,140288,MM:8-LM:2-KO:1-
62,29,62,-5.17465,149504,-5.14702,140288,NI:32-MM:8-LM:16-KO:2-
63,29,63,-5.25582,180225,-5.14702,140288,NI:32-MM:4-LM:8-KO:1-
64,29,64,-5.23561,172033,-5.14702,140288,MM:8-LM:1-KO:4-
65,29,65,-5.73947,548867,-5.14702,140288,NI:32-MM:1-LM:32-KO:1-
66,30,66,-5.73947,548865,-5.14702,140288,MM:1-LM:2-KO:4-
67,30,67,-5.45746,286720,-5.14702,140288,MM:2-LM:8-KO:4-
68,30,68,-5.15643,143360,-5.14702,140288,MM:8-LM:8-KO:4-
69,31,69,-5.82721,671746,-5.14702,140288,MM:1-LM:2-KO:1-
70,31,70,-5.8272,671745,-5.14702,140288,NI:32-MM:1-LM:2-KO:2-
71,31,71,-5.45746,286722,-5.14702,140288,MM:2-LM:2-KO:2-
72,31,72,-5.45746,286722,-5.14702,140288,NI:8-MM:4-LM:2-KO:2-
73,32,73,-5.45746,286720,-5.14702,140288,MM:2-LM:8-KO:2-
74,32,74,-5.46969,294912,-5.14702,140288,NI:32-MM:2-LM:16-KO:4-
75,32,75,-5.31133,204800,-5.14702,140288,NI:8-MM:4-LM:16-KO:2-
76,32,76,-5.17465,149504,-5.14702,140288,MM:8-LM:16-KO:1-
77,32,77,-5.80549,638977,-5.14702,140288,NI:1-MM:4-LM:4-KO:1-
78,32,78,-5.75849,573440,-5.14702,140288,MM:1-LM:8-KO:4-
79,33,79,-5.19214,155648,-5.14702,140288,MM:8-LM:2-KO:2-
80,33,80,-5.66926,466944,-5.14702,140288,NI:2-MM:2-LM:8-KO:1-
81,33,81,-5.45746,286721,-5.14702,140288,MM:2-LM:32-KO:1-
